id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
cse-520-ob,"OB: CSE, 520",CSE,7.6,590,,CSE,OB,,https://onthegomap.com/s/3ho0rufu,,University of Washington;Montlake,University District;Capitol Hill,University of Washington,University of Washington,
cse-laurelhurst-windemere-loop,"CSE, Laurelhurst, Windemere Loop",CSE,7.7,720,,CSE,Loop,,https://onthegomap.com/s/r1tq3v1f,,University of Washington;Ravenna;Bryant;Laurelhurst;Windermere;University District,University District;Northeast,University of Washington,University of Washington,
cse-arb-lwb-i90-trail-stairs-beacon,"CSE, Arboretum, LWB, I90 Trail, Stairs, Beacon",CSE,7.8,1100,,Beacon,P2P,,https://onthegomap.com/s/cl00d72b,,University of Washington;Stevens;Madison Park;North Beacon Hill;Mount Baker;Madrona;Leschi;Atlantic;Montlake;Harrison/Denny-Blaine,Capitol Hill;Beacon Hill;University District;Central Area;Rainier Valley,University of Washington,North Beacon Hill,
cse-cap-hill-parks-loop,"CSE, Capitol Hill Parks Loop",CSE,8.1,1000,,CSE,Loop,,https://onthegomap.com/s/1cbgnq69,,University of Washington;Stevens;Madison Park;Minor;Mann;Broadway;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill,University of Washington,University of Washington,
cse-lake-union-loop,"CSE, Lake Union Loop",CSE,8.1,400,,CSE,Loop,,https://onthegomap.com/s/d7n6ivqv,,University of Washington;South Lake Union;Westlake;Eastlake;East Queen Anne;Wallingford;University District;Fremont,University District;Cascade;Queen Anne;North Central,University of Washington,University of Washington,
cse-arb-lwb-cc,"CSE, Arboretum, LWB, Columbia City",CSE,8.2,670,,ColCity,P2P,,https://onthegomap.com/s/3keko8m6,,University of Washington;Stevens;Seward Park;Madison Park;Mount Baker;Columbia City;Madrona;Leschi;Montlake;Harrison/Denny-Blaine,Seward Park;Capitol Hill;University District;Central Area;Rainier Valley,University of Washington,Columbia City,
cse-foster-arboretum-madison-park-ob,"OB: CSE, Foster, Arboretum, Madison Park",CSE,8.3,840,,CSE,OB,,https://onthegomap.com/s/ti2jb5tb,,University of Washington;Stevens;Madison Park;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill,University of Washington,University of Washington,
cse-magnuson-ob,"OB: CSE, Magnuson",CSE,8.3,380,,CSE,OB,,https://onthegomap.com/s/js1qc2oe,,University of Washington;View Ridge;Ravenna;Sand Point;Bryant;University District;Windermere,University District;Northeast,University of Washington,University of Washington,
cse-arb-lwb-i90-trail-beacon,"CSE, Arboretum, LWB, I90 Trail, Beacon",CSE,8.4,1110,,Beacon,P2P,,https://onthegomap.com/s/su6gtm6h,,University of Washington;Stevens;Madison Park;North Beacon Hill;Mount Baker;Madrona;Leschi;Atlantic;Montlake;Harrison/Denny-Blaine,Capitol Hill;Beacon Hill;University District;Central Area;Rainier Valley,University of Washington,North Beacon Hill,
cse-foster-arboretum-beaver-lodge-ob,"OB: CSE, Foster, Arboretum, Beaver Lodge",CSE,8.8,800,,CSE,OB,,https://onthegomap.com/s/571qdd37,,University of Washington;Stevens;Madison Park;Montlake;Harrison/Denny-Blaine,University District;Central Area;Capitol Hill,University of Washington,University of Washington,
