stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
E21-T2,Spring District,47.623776,-122.178239,,Spring District to Redmond Tech,E21,https://www.soundtransit.org/ride-with-us/stops-stations/spring-district-station,,E21,1,America/Los_Angeles,2,
E23,BelRed,47.624448,-122.165640,,BelRed Station - 1500 130th Ave NE Bellevue WA 98005,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,1,,1,America/Los_Angeles,,
E23-T1,BelRed,47.624499,-122.166364,,BelRed to South Bellevue,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1,America/Los_Angeles,1,
E23-T2,BelRed,47.624400,-122.165224,,BelRed to Redmond Tech,E23,https://www.soundtransit.org/ride-with-us/stops-stations/belred-station,,E23,1,America/Los_Angeles,2,
E25,Overlake Village,47.636310,-122.138920,,Overlake Village Station - 2989 112th Ave NE Bellevue WA 98004,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,1,,1,America/Los_Angeles,,
E25-T1,Overlake Village,47.636151,-122.139236,,Overlake Village to South Bellevue,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1,America/Los_Angeles,1,
E25-T2,Overlake Village,47.636622,-122.138361,,Overlake Village to Redmond Tech,E25,https://www.soundtransit.org/ride-with-us/stops-stations/overlake-village-station,,E25,1,America/Los_Angeles,2,
E27,Redmond Technology,47.644842,-122.133628,,Redmond Technology Station - 3925 152nd Ave NE Redmond WA 98052,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,1,,1,America/Los_Angeles,,
E27-T1,Redmond Technology,47.644424,-122.133556,,Redmond Technology to/from South Bellevue,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,,E27,1,America/Los_Angeles,1,
E27-T2,Redmond Technology,47.645199,-122.133673,,Redmond Technology to/from South Bellevue,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,,E27,1,America/Los_Angeles,2,
N03,Capitol Hill,47.619060,-122.320195,,"Capitol Hill Station - 140 Broadway E Seattle, WA 98102",N03,https://www.soundtransit.org/ride-with-us/stops-stations/capitol-hill-station,1,,1,America/Los_Angeles,,
N05,Univ of Washington,47.649815,-122.303763,,"University of Washington Station - 3720 Montlake Blvd NE Seattle, WA 98195",N05,https://www.soundtransit.org/ride-with-us/stops-stations/university-washington-station,1,,1,America/Los_Angeles,,University of Washington
N07,U District,47.660301,-122.314132,,"U District Station - 4300 Brooklyn Ave NE Seattle, WA 98105",N07,https://www.soundtransit.org/ride-with-us/stops-stations/u-district-station,1,,1,America/Los_Angeles,,U District
N09,Roosevelt,47.676595,-122.315976,,"Roosevelt Station - 6501 12th Ave NE Seattle, WA 98115",N09,https://www.soundtransit.org/ride-with-us/stops-stations/roosevelt-station,1,,1,America/Los_Angeles,,
N11,Northgate,47.703028,-122.328290,,"Northgate Station - 10200 1st Ave NE Seattle, WA 98125",N11,https://www.soundtransit.org/ride-with-us/stops-stations/northgate-station,1,,1,America/Los_Angeles,,
N15,Shoreline South/148th,47.736095,-122.325227,,"Shoreline South/148th Station - 14711 5th Ave NE Shoreline, WA 98155",N15,,1,,1,America/Los_Angeles,,Shoreline South 148th
N15-T1,Shoreline South/148th,47.736499,-122.325446,,Shoreline South to Lynnwood,N15,,,N15,1,America/Los_Angeles,1,Shoreline South 148th
N15-T2,Shoreline South/148th,47.735753,-122.325040,,Shoreline South to Angle Lake,N15,,,N15,1,America/Los_Angeles,2,Shoreline South 148th
N17,Shoreline North/185th,47.764067,-122.322889,,"Shoreline North/185th - 710 NE 185th St Shoreline, WA 98155 ",N17,,1,,1,America/Los_Angeles,,Shoreline North 185th
N17-T1,Shoreline North/185th,47.764477,-122.322731,,Shoreline North to Lynnwood,N17,,,N17,1,America/Los_Angeles,1,Shoreline North 185th
N17-T2,Shoreline North/185th,47.763699,-122.323048,,Shoreline North to Angle Lake,N17,,,N17,1,America/Los_Angeles,2,Shoreline North 185th
N19,Mountlake Terrace,47.785057,-122.314788,,"Mountlake Terrace Station - 6001 236th St SW Mountlake Terrace, WA 98043",N19,,1,,1,America/Los_Angeles,,
N19-T1,Mountlake Terrace,47.785448,-122.314761,,Mountlake Terrace to Lynnwood,N19,,,N19,1,America/Los_Angeles,1,
N19-T2,Mountlake Terrace,47.784548,-122.314801,,Mountlake Terrace to Angle Lake,N19,,,N19,1,America/Los_Angeles,2,
N23,Lynnwood City Center,47.815637,-122.294779,,"Lynnwood City Center Station - 20201 46th Ave W Lynnwood, WA 98036",N23,,1,,1,America/Los_Angeles,,
N23-T1,Lynnwood City Center,47.815876,-122.294275,,Lynnwood from Angle Lake,N23,,,N23,1,America/Los_Angeles,1,
N23-T2,Lynnwood City Center,47.815403,-122.295185,,Lynnwood to Angle Lake,N23,,,N23,1,America/Los_Angeles,2,
S01,Angle Lake,47.422703,-122.297714,,"Angle Lake Station - 19955 28th Ave S SeaTac, WA 98188",S01,https://www.soundtransit.org/ride-with-us/stops-stations/angle-lake-station,1,,1,America/Los_Angeles,,
SN02,Edmonds Station,47.811152,-122.384373,SN02,Edmonds Station - 170 Railroad Avenue,S_ED,https://www.soundtransit.org/ride-with-us/stops-stations/edmonds-station,1,,1,America/Los_Angeles,,
SN03,Mukilteo Station,47.948370,-122.301052,SN03,Mukilteo Station - SR525 and 1st Street,S_MU,https://www.soundtransit.org/ride-with-us/stops-stations/mukilteo-station,1,,1,America/Los_Angeles,,
