stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10580,10580,"Sand Point Way NE & NE Windermere Rd","",47.6702614,-122.270485,1,,0,,America/Los_Angeles,1
106,106,"E Madison St & 12th Ave","",47.6131248,-122.31588,1,,0,,America/Los_Angeles,1
10600,10600,"Sand Point Way NE & NE 61st St","",47.6729889,-122.266663,1,,0,,America/Los_Angeles,1
10620,10620,"Sand Point Way NE & NE 65th St","",47.6759758,-122.263428,1,,0,,America/Los_Angeles,1
10630,10630,"Sand Point Way NE & NE 70th St","",47.6797371,-122.263519,1,,0,,America/Los_Angeles,1
10640,10640,"Sand Point Way NE & NE 74th St","",47.6817589,-122.263565,1,,0,,America/Los_Angeles,1
10641,10641,"Sand Point Way NE & NE 74th St","",47.6824036,-122.263573,1,,0,,America/Los_Angeles,1
10650,10650,"Sand Point Way NE & NE 77th St","",47.6850052,-122.264465,1,,0,,America/Los_Angeles,1
10653,10653,"NOAA & Building 1","",47.6865425,-122.257362,1,,0,,America/Los_Angeles,1
10654,10654,"NE NOAA Dr","",47.6861496,-122.260803,1,,0,,America/Los_Angeles,1
10657,10657,"NE NOAA Dr & Guard Shack","",47.6862411,-122.259926,1,,0,,America/Los_Angeles,1
10658,10658,"NOAA & Building 3","",47.6860123,-122.255531,1,,0,,America/Los_Angeles,1
10680,10680,"Sand Point Way NE & Inverness Dr NE","",47.6928253,-122.270943,1,,0,,America/Los_Angeles,1
107,107,"E Madison St & 17th Ave","",47.615696,-122.309723,1,,0,,America/Los_Angeles,1
1070,1070,"Olive Way & Terry Ave","",47.6148834,-122.331894,1,,0,,America/Los_Angeles,1
10700,10700,"Sand Point Way NE & Matthews Pl NE","",47.6945229,-122.275177,1,,0,,America/Los_Angeles,1
10710,10710,"Sand Point Way NE & NE 93rd St","",47.6961441,-122.276566,1,,0,,America/Los_Angeles,1
10720,10720,"Sand Point Way NE & NE 95th St","",47.6972351,-122.277443,1,,0,,America/Los_Angeles,1
1073,1073,"Olive Way & Boren Ave","",47.6156654,-122.330063,1,,0,,America/Los_Angeles,1
10730,10730,"Sand Point Way NE & NE 97th St","",47.6990929,-122.277634,1,,0,,America/Los_Angeles,1
10750,10750,"Sand Point Way NE & NE 103rd St","",47.7030869,-122.277565,1,,0,,America/Los_Angeles,1
